Weight,WCPre,WCPost,HCPre,HCPost,MoCaPre,MoCaPost,group,age,Gender,HuJi,Education,Height,LCCPre,LCCPost,RCCPre,RCCPost,LHGPre,LHGPost,RHGPre,RHGPost,CSRTPre,CSRTPost,FTSSTPre,FTSSTPost,CEDPre,CEDPost,ageSub
Weight,1.000,0.346,0.558,0.379,0.441,0.217,0.270,-0.100,-0.144,-0.450,0.024,-0.114,0.084,0.589,0.637,0.566,0.660,0.320,0.450,0.326,0.420,0.160,0.034,-0.226,-0.111,0.214,-0.098,-0.115
WCPre,0.346,1.000,0.628,0.637,0.446,-0.158,-0.135,-0.075,0.140,0.027,0.177,0.047,0.008,0.490,0.414,0.484,0.391,0.086,0.082,0.051,0.000,0.062,0.084,0.046,0.016,-0.056,-0.077,0.169
WCPost,0.558,0.628,1.000,0.623,0.592,0.083,0.101,-0.017,0.258,-0.098,0.215,-0.055,0.248,0.467,0.494,0.437,0.560,0.115,0.160,0.069,0.103,0.094,0.008,-0.107,-0.082,-0.027,-0.031,0.257
HCPre,0.379,0.637,0.623,1.000,0.542,0.125,0.058,-0.062,0.113,-0.124,0.019,0.003,0.120,0.370,0.374,0.343,0.376,0.188,0.239,0.131,0.200,0.028,-0.075,-0.215,-0.079,0.134,0.003,0.137
HCPost,0.441,0.446,0.592,0.542,1.000,0.081,-0.006,0.006,0.096,-0.092,0.092,-0.045,0.058,0.359,0.393,0.380,0.518,0.158,0.109,0.120,0.131,0.050,-0.128,-0.133,-0.113,-0.072,-0.095,0.125
MoCaPre,0.217,-0.158,0.083,0.125,0.081,1.000,0.702,0.078,-0.089,-0.226,0.011,-0.370,0.172,-0.019,0.145,-0.060,0.097,0.221,0.270,0.290,0.298,-0.019,-0.026,-0.194,-0.108,0.017,0.225,-0.078
MoCaPost,0.270,-0.135,0.101,0.058,-0.006,0.702,1.000,0.133,-0.104,-0.263,-0.104,-0.344,0.134,0.002,0.232,-0.016,0.141,0.086,0.173,0.106,0.243,0.080,0.114,-0.219,-0.127,0.156,0.187,-0.108
group,-0.100,-0.075,-0.017,-0.062,0.006,0.078,0.133,1.000,-0.014,-0.001,-0.119,0.037,0.222,-0.231,-0.052,-0.178,-0.049,-0.113,-0.161,-0.064,-0.171,-0.005,0.042,-0.304,-0.165,-0.008,0.087,0.027
age,-0.144,0.140,0.258,0.113,0.096,-0.089,-0.104,-0.014,1.000,0.095,0.116,-0.038,-0.104,-0.023,-0.026,-0.049,0.014,-0.102,-0.192,-0.106,-0.152,-0.072,-0.238,0.189,-0.004,-0.205,-0.039,0.868
Gender,-0.450,0.027,-0.098,-0.124,-0.092,-0.226,-0.263,-0.001,0.095,1.000,0.021,0.154,-0.208,-0.187,-0.327,-0.130,-0.285,-0.489,-0.474,-0.568,-0.519,0.135,0.138,0.188,0.196,-0.370,-0.190,0.000
HuJi,0.024,0.177,0.215,0.019,0.092,0.011,-0.104,-0.119,0.116,0.021,1.000,0.167,0.199,0.110,0.056,0.116,0.074,0.054,0.083,0.077,-0.004,-0.053,-0.169,0.174,0.068,-0.211,0.161,0.113
Education,-0.114,0.047,-0.055,0.003,-0.045,-0.370,-0.344,0.037,-0.038,0.154,0.167,1.000,-0.089,-0.053,-0.141,-0.070,-0.153,0.036,-0.058,-0.014,-0.129,-0.178,0.093,0.055,0.302,0.012,-0.072,0.017
Height,0.084,0.008,0.248,0.120,0.058,0.172,0.134,0.222,-0.104,-0.208,0.199,-0.089,1.000,0.054,0.009,0.057,0.020,-0.044,0.101,0.039,-0.030,-0.130,-0.056,-0.225,-0.099,0.112,0.176,-0.064
LCCPre,0.589,0.490,0.467,0.370,0.359,-0.019,0.002,-0.231,-0.023,-0.187,0.110,-0.053,0.054,1.000,0.572,0.941,0.582,0.127,0.275,0.174,0.208,0.120,0.225,-0.075,-0.096,0.045,-0.091,0.064
LCCPost,0.637,0.414,0.494,0.374,0.393,0.145,0.232,-0.052,-0.026,-0.327,0.056,-0.141,0.009,0.572,1.000,0.538,0.889,0.286,0.399,0.272,0.402,0.227,-0.007,-0.122,-0.158,0.179,-0.053,0.040
RCCPre,0.566,0.484,0.437,0.343,0.380,-0.060,-0.016,-0.178,-0.049,-0.130,0.116,-0.070,0.057,0.941,0.538,1.000,0.553,0.099,0.225,0.121,0.163,0.037,0.183,-0.105,-0.126,-0.006,-0.087,-0.003
RCCPost,0.660,0.391,0.560,0.376,0.518,0.097,0.141,-0.049,0.014,-0.285,0.074,-0.153,0.020,0.582,0.889,0.553,1.000,0.132,0.281,0.108,0.298,0.227,-0.109,-0.176,-0.298,0.107,-0.040,0.064
LHGPre,0.320,0.086,0.115,0.188,0.158,0.221,0.086,-0.113,-0.102,-0.489,0.054,0.036,-0.044,0.127,0.286,0.099,0.132,1.000,0.713,0.825,0.658,-0.067,-0.001,-0.238,-0.085,0.113,0.020,-0.068
LHGPost,0.450,0.082,0.160,0.239,0.109,0.270,0.173,-0.161,-0.192,-0.474,0.083,-0.058,0.101,0.275,0.399,0.225,0.281,0.713,1.000,0.708,0.839,0.065,0.107,-0.250,-0.133,0.161,0.073,-0.153
RHGPre,0.326,0.051,0.069,0.131,0.120,0.290,0.106,-0.064,-0.106,-0.568,0.077,-0.014,0.039,0.174,0.272,0.121,0.108,0.825,0.708,1.000,0.765,-0.067,0.039,-0.251,-0.051,0.109,0.053,-0.064
RHGPost,0.420,0.000,0.103,0.200,0.131,0.298,0.243,-0.171,-0.152,-0.519,-0.004,-0.129,-0.030,0.208,0.402,0.163,0.298,0.658,0.839,0.765,1.000,0.047,0.022,-0.246,-0.181,0.170,-0.003,-0.135
